NAICS6,weight
115111,0.00013787824781838625
115112,0.005903695883859993
115113,0.0024316709160697213
115114,0.0038104533942535834
115115,0.01072943455750351
115116,0.0028578400456901873
115210,0.006392536944306998
211120,0.003676387824340076
211130,0.0004948983609688565
221111,0.0011020847072637423
221112,0.003563407220152767
221114,0.005841048948497833
221115,0.00209396094380111
221116,0.0006612508243582453
221117,0.0007714592950846194
221118,0.0003306254121791227
221121,0.000183680784543957
221122,0.012416821035171496
221210,0.0027592610307571193
221310,0.007654421904323769
221320,0.00045114470948863077
221330,0.00022557235474431539
311411,0.0038218482907675
311412,0.008265857931194824
311421,0.011110024101068313
311422,0.0019553642417880234
311423,0.007110415424683721
311511,0.019794171395129338
311512,0.003665587295394322
311513,0.020893847583747637
311514,0.008430850779406942
311520,0.03152405074039117
311611,0.011086927704234292
311612,0.04728248579746978
311613,0.005217377743169079
311615,0.0140217026847669
311710,0.0067000138644293565
312111,0.0015133122525296816
312112,0.000650886990335347
312113,0.00047189306799312646
312120,0.008917151767594252
312130,0.028248495380554052
312140,0.0017411226991470529
313110,1.8052123322197258e-05
313210,3.352537188408062e-05
313220,1.8052123322197258e-05
313230,1.0315499041255577e-05
313240,2.707818498329589e-05
313310,0.00014054867443710723
313320,2.0630998082511154e-05
322130,0.0005036610272018306
322211,0.00022386794850461395
322212,0.00012939156656688693
322219,5.339969413871525e-05
322220,0.0001067993882774305
322230,6.983036925831993e-05
322291,1.848450950955528e-05
322299,8.420720998797403e-05
323111,0.005031052870684855
323113,0.0018008123392679726
323117,0.00039275877429138274
323120,0.00029122929522286205
324110,0.0007732749499290398
324121,0.00492962780579763
324122,0.0010149233717818647
324191,0.0008699343186701697
324199,0.00024164842185282493
325120,0.00013394172599403623
325180,7.240093296974932e-05
325193,1.4480186593949863e-05
325194,7.240093296974931e-06
325199,0.0001104114227788677
325211,0.0002958974664534352
325212,4.9710774364177114e-05
325220,1.1835898658137408e-05
325311,6.710071717858837e-05
325312,2.333937988820465e-05
325314,0.00010794463198294651
325315,4.084391480435814e-05
325320,8.168782960871628e-05
325411,0.0002621446426939899
325412,0.0005435292591636855
325413,0.00016113478037153508
325414,0.00016113478037153508
325510,0.0004220399361036579
325520,0.00013463850722325284
325611,8.188517495520712e-05
325612,7.668611622789239e-05
325613,7.798588090972105e-06
325620,0.0003483369347300874
325910,5.40681989520593e-05
325920,8.537084045061993e-06
325991,2.987979415771698e-05
325992,2.5611252135185983e-05
325998,0.00019493008569558217
326111,3.3454296008360606e-05
326112,2.6626888659715587e-05
326113,2.5944147924851084e-05
326121,1.9799481311070563e-05
326122,3.823348115241212e-05
326130,9.55837028810303e-06
326140,3.208881453863161e-05
326150,5.461925878916018e-05
326160,3.823348115241212e-05
326191,1.6385777636748052e-05
326199,0.0003905277003424953
327211,5.666585796205417e-07
327212,2.266634318482167e-06
327213,2.8332928981027087e-07
327215,5.909439473185649e-06
327310,5.098829710638191e-07
327320,1.2951027465021006e-05
327331,1.3256957247659298e-06
327332,2.0395318842552764e-07
327390,4.3510013530779224e-06
331210,1.330841332730794e-05
331221,1.4639254660038733e-05
331222,2.1293461323692704e-05
331318,0.0005329395365219081
331410,9.315889329115558e-06
331420,1.730093732550032e-05
331491,2.661682665461588e-05
331492,1.1977571994577145e-05
331511,1.751742084895786e-05
331512,1.6057635778211377e-05
331513,1.3138065636718398e-05
331523,4.233376705164817e-05
331524,3.795441183940871e-05
331529,3.357505662716924e-05
332811,4.786066424800313e-05
332812,0.00022311515539142634
332813,0.00022029982220036733
333310,0.0005036610272018306
334210,2.933727927333085e-05
334220,0.00012875805903295209
334290,4.563576775851467e-05
334412,0.00024012706670860102
334413,0.0005624597958940204
334416,0.00013628833515893571
334417,0.0001297984144370816
334418,0.0004153549261986612
334419,0.0005927460925960061
334510,7.50089900988174e-05
334511,3.527820082273147e-05
334512,8.905176906708916e-06
334513,4.075830968839849e-05
334514,8.562670102604726e-06
334515,5.582860906898281e-05
334516,4.6580925358169706e-05
334517,8.220163298500536e-06
334519,4.96634865951074e-05
334610,0.0005036610272018306
335311,7.721181917107466e-06
335312,1.451582200416204e-05
335313,1.2353891067371948e-05
335314,1.6986600217636426e-05
335910,8.521153330302875e-05
335921,2.891105594209904e-05
335929,4.260576665151438e-05
335931,5.934374640746646e-05
335932,2.130288332575719e-05
335991,2.891105594209904e-05
335999,0.00023737498562986583
336310,0.00016870753927018665
336320,0.0001548411661794864
336330,0.00011093098472560216
336340,3.2354870544967306e-05
336350,0.00012479735781630244
336360,0.00010630886036203541
336370,3.928805709031743e-05
336390,0.0004021248196303079
336411,0.00014389373662621006
336412,0.00010935923983591963
336413,0.0006302545664228
336414,2.3022997860193608e-05
336415,2.3022997860193608e-05
336419,6.331324411553242e-05
339112,0.0006447186900784735
339113,0.000559615822988115
339114,0.0003610424664439452
339115,0.00015731136037914757
339116,0.0018671053264672592
339910,0.000315912158138452
339920,0.00029012341053531314
339930,8.510286709035851e-05
339940,6.189299424753346e-05
339950,0.0007697941159536974
339991,8.510286709035851e-05
339992,0.00013410148753632248
339993,1.0315499041255579e-05
339994,1.5473248561883365e-05
339995,6.4471869007847356e-06
339999,0.0010134977808033603
423110,0.001015119297528903
423120,0.002340489533176559
423130,0.00039733892074857863
423140,0.00028167519381834175
423410,1.5824312205649645e-05
423420,8.525169999079718e-05
423430,0.00015524933326083298
423440,6.201419648159996e-05
423450,0.00018889381686924123
423460,3.136350166885515e-05
423490,6.172907373915582e-05
424110,0.0004380756817252854
424120,0.0024553871543614766
424130,0.003926456110278484
424410,0.010544577755204185
424420,0.013996811452342304
424430,0.006246899071011834
424440,0.0016439208081610091
424450,0.007867335296199113
424460,0.006951436560223695
424470,0.008524903619463517
424480,0.0287216449768702
424490,0.05366227209497008
424610,0.0013075365923602906
424690,0.0033544539958766982
424810,0.0020900468004305625
424820,0.006281026061710595
425120,0.00026133854040864406
441110,0.0015617961471534017
441120,0.001124346921861723
445110,0.03526681427520472
445131,0.011562820720587232
445132,0.0009540699097673291
445230,0.003809518000394809
445240,0.009034735257693095
445250,0.0022651188110455623
445291,0.004272837757199583
445292,0.007606166007545041
445298,0.012522503426973476
445320,0.011095204798891619
455110,0.008058429207045375
455211,0.0014969405972475867
455219,0.0065614886097977885
456110,0.0083747332432284
456120,0.005389868046436438
456130,0.0023156470125430626
456191,0.002781438078284483
456199,0.0023004375083555875
457210,0.01225126519108512
488111,8.763422883465753e-05
488119,0.0038208523771910683
488190,0.008342778585059397
493110,0.10965920650817396
493120,0.01038773537968404
493130,0.0023519400859661975
493190,0.01739455688579167
517111,0.005495597782345011
517112,0.0031702928247285098
517121,0.0003176646116962435
517122,0.0032677099723153586
518210,0.0001719975243810948
519210,0.0024833645657604984
519290,0.009767900625324625
522110,0.00038107831941123853
522130,7.911642492860423e-05
522180,7.592244615915031e-06
522310,5.592556625277214e-05
522320,1.291473048943592e-05
522390,2.9177724439095963e-05
524210,1.717678362586778e-05
524291,3.4445896458738363e-07
524292,8.380651097177581e-07
524298,3.4445896458738363e-07
531110,0.00035282961415644237
531120,0.00018000529248861637
531130,7.706659115326714e-05
531190,5.012936089728789e-05
531311,0.00010190741199172841
531312,3.294444392423699e-05
531320,1.2803158474904141e-05
531390,4.452458123673635e-05
541110,0.0028538822640725445
541191,4.591735164027285e-05
541199,0.00011510616759959407
541211,0.0004765282682217626
541213,0.00024629839814213573
541214,4.351357399327398e-05
541219,0.0004280013134729859
541310,0.0003710895237735145
541320,9.025964013477543e-05
541330,0.0009260818203905404
541340,4.398540346148924e-05
541350,9.921594400702437e-05
541360,4.577666423593903e-06
541370,5.2145591433982724e-05
541380,0.0001017038061937602
541410,0.00018311694580035092
541420,2.4681259104013604e-05
541430,0.00017752509803459785
541490,5.045517811627781e-05
541511,0.0010710847498911604
541512,0.000726282819451191
541513,6.389237944669723e-05
541519,0.00014434944986105671
541611,0.00112531115727362
541612,7.706466058779248e-05
541613,0.0005983277109355798
541614,8.889109724179898e-05
541618,6.67808026277868e-05
541620,9.9817696324305e-05
541690,0.00027187949481764984
541713,0.0016804501123448246
541714,0.006593217195400405
541715,0.011820791555438791
541720,0.0013789445512908717
541810,0.0001583299344138208
541820,0.00011037743953448755
541830,1.2404956950703738e-05
541840,1.440575645888176e-05
541850,2.0274768349537287e-05
541860,1.51393829452137e-05
541870,6.469251743108937e-06
541890,6.482590406496791e-05
541910,4.5120426799524875e-05
541921,8.715569621104803e-05
541922,5.964637616803288e-05
541930,3.920720847252161e-05
541940,0.0002182106110888703
541990,0.00014249570685832854
551111,3.3112289454516647e-06
551112,5.3273994589044556e-05
551114,0.00031125552087245647
561410,5.216482055468486e-06
561421,9.540468656019058e-07
561422,2.292790047978774e-06
561431,1.0386800552923974e-05
561439,3.870044946756119e-06
561440,2.292790047978774e-06
561450,4.0777809578145977e-07
561491,4.539416537944552e-07
561492,3.6930846410396356e-06
561499,2.762119554444227e-06
561710,0.0011676122971434556
561720,0.004035786773366454
561730,0.005552552620394376
561740,0.0004431335513865891
561790,0.0012627819189177567
621511,0.004672632381439644
621512,0.002487990476449925
622110,0.0029408333448444858
622310,0.0002986783865857682
623110,0.014627582522533772
711110,0.0005793177700026486
711120,0.00011028587744032917
711130,0.0014768166346894654
711190,3.549430538309444e-05
711211,0.0007086553147726094
711212,0.00020816749871445403
711219,0.0016609108939983034
712110,0.008670405780634426
712120,0.0010542631766809155
712130,0.0013269174465121872
712190,0.0011996787872575936
713110,6.962919562386384e-05
713120,0.00030618992434596533
713910,0.0008361070892935287
713920,2.976433003957546e-05
713930,0.000328760554528038
713940,0.00668885671434823
713950,0.0002421734125947276
713990,0.0028357288983159165
721110,0.023401367263429895
721191,0.0008210316867646211
721199,0.0008053181616590782
811111,0.0008723635198337773
811114,9.146704549634555e-05
811121,0.00037253860588271813
811122,7.310053586121524e-05
811191,8.899990241102955e-05
811192,0.00020669176514758608
811198,8.927402942050909e-05
811411,7.076473100246814e-05
811412,0.0006106439708977027
811420,0.0003132730788199152
811430,6.0428309620085163e-05
811490,0.0008054457584887667
812210,0.015668482952437713
812220,0.0054936409364102585
813211,0.0010357321955391401
813212,0.0002674344678520652
813219,0.0003498550042806111
813311,0.0003256475740008983
813312,0.0005181542814633763
813319,0.0006097966960937175
813410,0.00110604901682783
813910,0.0011756460985211576
813920,0.0005001807572774503
813990,0.0012624031148276889
